MONTH,YEAR,ANDAMAN & NICOBAR ISLANDS,ARUNACHAL PRADESH,ASSAM & MEGHALAYA,BIHAR,CHHATTISGARH,COASTAL ANDHRA PRADESH,COASTAL KARNATAKA,EAST MADHYA PRADESH,EAST RAJASTHAN,EAST UTTAR PRADESH,GANGETIC WEST BENGAL,GUJARAT REGION,HARYANA DELHI & CHANDIGARH,HIMACHAL PRADESH,JAMMU & KASHMIR,JHARKHAND,KERALA,KONKAN & GOA,LAKSHADWEEP,MADHYA MAHARASHTRA,MATATHWADA,NAGA MANI MIZO TRIPURA,NORTH INTERIOR KARNATAKA,ORISSA,PUNJAB,RAYALSEEMA,SAURASHTRA & KUTCH,SOUTH INTERIOR KARNATAKA,SUB HIMALAYAN WEST BENGAL & SIKKIM,TAMIL NADU,TELANGANA,UTTARAKHAND,VIDARBHA,WEST MADHYA PRADESH,WEST RAJASTHAN,WEST UTTAR PRADESH
NOV,1902,359,NA,7.8,1.1,8.1,50.4,50.8,27.6,0,1.2,10.4,1.5,0,2.5,44,5.9,158.3,42.7,192.8,40.5,84.4,8.9,35.7,13,0,88.9,0.1,44.6,5.6,174.9,31.2,2.1,16.1,10,0,0.9
DEC,1902,160.5,NA,1.3,0,3.7,27.1,132.2,6.1,2.8,0,9.9,11.9,0,0,1.8,3.2,121.5,48,49,62.9,56.9,4.7,85.1,29.6,0.1,36.4,6.5,84.9,0,165.8,7.3,0,26.7,14.2,0,0.2
JAN,1903,12.7,NA,19.9,5.3,6.2,0.8,0.7,5.6,1.9,8.2,17.5,0.3,14.7,76.5,96.2,25.1,3.2,0,63.5,7.6,2.6,6.5,3.5,19.7,29.5,30,0.5,0.3,5.5,19.3,12.9,68,5.2,5.3,1.7,13.4
FEB,1903,144,NA,25.4,4.7,13.9,13.3,0,2.9,0.7,0.4,24.6,0.1,0.5,21.4,21.5,19.5,18.6,0,95,0,0.8,40.5,0,18.9,0.5,0.1,0,0,8.7,7.8,4.6,7.9,4,0,1.3,0.4
MAR,1903,0,NA,103.6,2,0.4,0.2,0,0.3,1.3,1.3,37.3,1.4,2.3,213.7,238.6,10.7,3.1,0.1,0,0,0,139.8,0.1,10.5,45,0,1.7,1.1,19.6,1.7,0,87.6,0.1,0,5.5,1.2
APR,1903,1,NA,140.6,4.7,6.8,6.2,4.1,0.9,0.1,0.7,30.6,0,0.5,25.4,58.7,32.8,83.6,0,29.5,3.2,1.7,45.5,6.9,34.6,1.3,3.6,0,11.6,18.6,18.2,9.9,10.3,2.5,0,0,0
MAY,1903,235.1,NA,206.6,28.2,51.1,73.4,202.8,37.5,12.9,15.3,78.5,12.3,8.5,54.7,57.3,56.4,249.7,201.1,144.1,77.2,58.3,159.9,53.4,73.3,9.2,80.5,3.1,125.1,163.6,128.5,40.7,37.5,37.8,22.3,4.2,8.2
JUN,1903,479.9,NA,607.4,192.9,110.7,154,536.5,67.5,15.6,71.6,201.7,30.1,8.6,32.2,18.9,142.1,558.6,470.5,212.4,86.3,104.4,458.6,102.8,154.3,5.2,67.5,10.5,129.7,541.2,58.5,99.2,83,121.2,50.6,2.7,32.7
JUL,1903,728.4,NA,362.7,115,365.9,248.6,1405.5,261.4,238.2,115.3,179.6,452.9,151.6,157.7,332.5,206.1,1022.5,1298.6,261.8,281.8,264.2,300.2,209.4,410.4,212.2,127.5,337.9,284.4,431.5,72.6,505.2,251.6,475.5,304.9,154.8,145.4
AUG,1903,326.7,NA,551.9,342.6,396,258,593.8,366.7,229.1,420.2,277.6,202,138.2,256.5,218.6,280.8,420.2,673.9,202,155.5,281.9,470.6,146.4,295.2,119.1,140.6,96.1,155.7,708.8,115,246.7,442.7,325.5,261.1,87.1,279.1
SEP,1903,339,NA,306.4,173.9,212,216.5,304.4,257.4,168.5,258.7,300.7,183.2,97.7,107.9,176.9,190.2,341.8,285.1,292.1,142.3,173.3,366.1,189.3,265.6,132.5,219.7,61.9,197.1,365.2,210.4,191.9,249.3,154.8,250.2,49.3,150.4
OCT,1903,181.2,NA,159.5,147,168,159.1,185,177.9,17.8,324.7,198,5.4,4,5.8,10.7,210.1,354.1,140.8,79.1,74.2,139.9,166.4,166.4,228.5,6.9,95.3,11.1,154.2,141.3,128.1,155.8,57.5,100.8,55.1,0.1,177.3
NOV,1903,284.4,NA,59.3,0.1,0.1,173.9,79.3,0,0,0,8.2,0,0,0.2,15,0.5,157,12.4,NA,7.6,0.3,76.7,34.3,46.2,0,289.4,0,186.6,0.3,200.5,15.5,0,2,0,0,0
DEC,1903,225,NA,1.3,0,0,12.1,5.3,0,0,0,0,0,2.3,41.4,41.8,0,59,1.7,NA,2.2,5.3,0.1,16,11,9.5,84,0,24.1,0,203.2,1.1,11.3,0,0,0.5,0.4
JAN,1904,9.4,NA,11.1,6.3,0,1.3,2.4,2,4.3,7.3,0.1,0.8,7.6,79.3,110.6,2.5,23.7,0,0,0.4,0,2.3,0.2,0.2,24.2,14.8,1.4,1,3.4,35.2,0,40,4.3,3.2,3.8,6.3
FEB,1904,14.7,NA,56.1,1.7,8.6,0,0,15.3,5.5,1.5,23.9,10.6,0.7,22.4,17.3,17,3,0.1,0,4.7,0.9,46.9,0.3,12.2,1.7,0,5.8,0.5,29.2,0.1,0,5.2,2.4,15.5,2.9,2
MAR,1904,0,NA,51.9,3.5,32.3,5.4,4.8,48.2,21.7,8.3,35.6,16.8,48,131.7,145.2,38.1,32.2,6.6,13.5,1.7,12.1,47.5,8.5,20.6,87.8,1.7,17.5,5.2,0.9,0.7,10.8,78.3,12.9,14.8,16.3,29.7
APR,1904,202.4,NA,457.1,5.3,0.2,3,23.7,0,0.2,0.4,17.5,0.2,0.5,48,64.5,9.1,71.5,6.3,13.2,3,0.3,290.3,11,10.1,1.2,7.1,0,43.5,124.3,19.5,0.8,13.6,0.2,0,0.7,0.4
MAY,1904,304.5,NA,375.2,118.7,77.5,136.3,93.2,8.6,27.5,28.7,160.2,3.9,29.3,90.3,67.8,116.1,235.7,4.6,143.3,18.7,7.2,230.5,46.3,100.2,13.8,58.8,0,144.7,333.6,121.9,14.7,61.1,14.8,12,11.4,24.8
JUN,1904,495.1,NA,385.7,191.6,369.5,107.8,1108.2,109.9,49.9,148,286.7,48.3,34.3,33.1,25.9,308.9,1098.2,975.8,261.3,114.6,79.2,455.3,120.6,342.9,22,39.8,9.5,167.9,274.2,34.9,104.2,180.1,148.9,96.6,14.6,68.5
JUL,1904,502,NA,477.6,394.4,303.6,120.2,1070,443.2,289.7,359.4,435.3,194.8,109.7,241.1,182.3,494.1,725.5,771.7,256,126.5,118.4,423.5,91.6,336.7,59.9,75.1,111.2,197.1,500.4,89,139.5,449.6,158.3,273,39.8,358.8
AUG,1904,160.1,NA,438.8,351.3,483.6,117.7,465.6,316.6,223.5,328.8,241.7,71.8,162.9,184.3,132.2,336.1,351.8,321.3,38.9,59.5,57.3,423.6,48.5,350.4,124,19.4,9.4,73.2,468.5,40.4,50,417.2,151.8,218.6,45.6,311.1
SEP,1904,820.4,NA,245.9,84.4,86.8,116.8,245.3,135.6,50.2,95,142.8,138,102.3,56.4,62.3,125.6,222.7,217,219.9,183,339,375.8,165.1,227.8,73.8,84.7,28.9,89.6,260.6,85.7,162.3,174.1,196.9,125.9,21.4,97.1
OCT,1904,222.2,NA,115.9,98.1,129.3,240.9,127.2,44.8,1.5,50.6,35.1,6.1,1.5,51.6,50,30.6,328.1,90.3,153.6,91.1,76.2,128.9,86.5,111.8,7.4,111.5,0.3,120.4,164.8,163.2,44.4,6.3,61.7,3.3,1.4,2.7
NOV,1904,308.7,NA,46.4,10.6,1,0,0.7,3.2,5.8,17,4.1,0.1,10.4,17.3,24.8,2.3,33.9,0,8.3,0,0,90,0,0,9.8,4.4,1.7,2.5,8.9,23.6,0,35.6,0,1.8,2.9,15.7
DEC,1904,40.1,NA,2.5,3.8,0,10.7,0,16.9,14.7,26.3,0.1,1.2,20.3,32,99.2,0.4,3.3,0,68.9,0.4,0,5,0,1.9,25.9,16.1,0,0.3,1.1,49.1,0,31,0.9,9.6,7.1,28.2
JAN,1905,1.3,NA,19.9,16,50.3,1.1,0,15.9,4.1,16.8,30.9,0.1,44.8,81.3,146.7,38.4,1.2,0.1,62.4,0,1.3,9.1,0,24.3,53,6.5,1.5,1.7,12,6.5,0,115.4,7.3,3.5,6.3,32.3
FEB,1905,0,NA,16.9,30.1,22.6,16.7,0.2,8,8.8,23.6,49.6,0.7,20.8,76.8,76.3,53.3,22.3,0.1,0,1.2,2,35.3,6,17.2,40.3,6.8,1,7.9,31.2,7.5,4.3,80.7,12.7,4.4,4.8,26.6
MAR,1905,3.3,NA,137.9,32.6,19,68,0,14.3,3.2,20,84.7,1.1,14,160.2,161.4,61.6,9.4,0,0,0,0,306.5,2.6,66.3,24.3,17,0.6,14.2,51.9,17.2,12.8,99.8,12.4,1.1,0.7,14.8
APR,1905,26.9,NA,213,21.4,24.6,37,6.4,12.3,1.6,5.4,84.9,0.3,1.3,39.3,71.7,32.9,105.9,0.4,0,2.3,6.6,161.7,16,56.9,0.5,18.3,0.4,23.6,104.4,64.8,27.6,26.1,16.2,0.8,1.3,3.6
MAY,1905,279.5,NA,275.5,77.5,31.8,68.8,83.1,10.2,2,15.4,156.8,0,7.4,50.4,65.2,66.2,263.3,8.6,166.7,23.6,4.8,193.6,51.2,107.5,2.2,44.2,0,118.6,290.6,83.7,32.2,70.3,14,3,0.3,7.1
JUN,1905,628.7,NA,521.7,50.5,40.4,84.4,767.3,34.4,14.4,17.3,70.9,20.1,20.1,43.6,43.3,41.5,850.2,293.7,400.7,65,84.6,339.7,99.6,92,19.2,66.1,6.4,95.9,524.8,49.8,129.5,111.5,81,36.1,4.9,18.9
JUL,1905,368.7,NA,439.1,409.1,443.7,64.6,777.3,292.4,130.5,302.4,525.5,668.3,93.6,191.1,145.2,420.3,520.5,770.6,68.7,252.8,94.8,450.1,60.1,330.1,122.6,50.9,254.5,148.4,523.1,39,82.4,299.9,254.5,326.3,30.1,139.8
AUG,1905,330.5,NA,649.1,495.3,270.8,210.8,586.9,243.3,30.9,316.2,263.6,37.9,23.1,132.8,111.5,293.7,293.6,305.5,377.5,79,137.6,429.9,139.2,281.4,50.3,219.3,12.3,140.6,1036.6,101.8,237.3,349.5,216.3,137.6,0.6,95
SEP,1905,297,NA,276,353.9,338.8,170.2,172.9,250.9,83.8,169.5,287.6,81.3,92.6,119.1,239.7,322.8,217.2,208.3,107.5,52.6,157.8,320.1,42.2,344.1,111.1,36.5,12.8,43.1,321.1,73.5,179.1,129.5,321.3,183.5,64.5,92.2
OCT,1905,260.7,NA,200,11.6,8.9,66,222.2,2.9,0,3.3,107.3,1.4,0,0.3,5.8,21.3,383.5,83.5,232.1,52.9,15.4,246.4,85,36.4,1.2,180.2,0.4,142.8,87.9,250.4,19.6,0,6,0.3,0,0.2
NOV,1905,25.4,NA,16.8,0,0,7.4,36.1,0,0,0,0,0.2,0,0.9,0.6,0,74.4,12.1,159.3,8.3,0.9,8,4.4,0.7,0,55.4,0,22.4,2.7,123.7,0,1,0.2,0,0,0
DEC,1905,344.7,NA,24.8,0.6,0,0,0,1.6,0.6,1.6,5.2,0.1,5.1,34.4,90.2,2.7,0.2,0,0,0,0,27.1,0,0.4,9.4,2,0,0.3,18.7,3.2,0,18.5,0,0,0.9,2.9
JAN,1906,36.6,NA,9.7,14.4,25,3.9,23,12.1,0.2,5.7,46.8,0,3.6,44.1,81,45.8,26.7,5,17.8,10.5,19.8,7,21.3,19.8,5.3,115.3,0.9,14.1,9.3,52.4,22.5,26.1,12.9,0,0.1,3.3
FEB,1906,0,NA,59.2,56.9,91,23.5,0,28.3,23.1,58.2,123.6,12.7,64.1,143.9,160.4,128.5,7.4,0.9,0,0.8,0,71.5,0,88.3,83.1,7.2,28.2,1.5,49.2,12.9,1.2,162,3.3,11,39.1,63.2
MAR,1906,0,NA,88.4,8.6,52.5,9.9,0,30.8,6.2,6.7,53.3,0,31.4,89.5,167.2,35.9,9.9,0,24.4,0,0.1,72.5,0.2,40.9,50.5,6.8,0,2.2,30.4,17,13.4,36.8,11.9,6.8,7.8,21.5
APR,1906,0,NA,263.5,0.9,0,2.3,0.5,0,0,0,1.1,0,0.1,5.3,49.3,1.7,59.4,0,33.8,0.1,0,99,2.6,5,1.5,2.1,0,4.8,13,8.5,2.4,10.1,0.2,0,0,0.2
MAY,1906,556.1,NA,271.3,44.7,4.1,11,29.8,3.5,1.6,13.5,81.3,0.1,1.4,29.9,39.4,33.9,160.8,2.9,213,9.3,0.2,302.7,30,46.3,4.7,9.6,0,46.1,198.1,39.6,0.7,44.6,6.1,0.5,0.2,3.4
JUN,1906,733.3,NA,388.4,191.3,210.1,252.6,593.6,226.1,61.9,140.6,172,177.5,70.2,152.6,52.2,170.9,414.9,547.4,465,184.8,220.6,417.4,142,219,38.3,84.1,126,116.4,438,43.6,211.1,195.6,328.1,180,19.9,206.5
JUL,1906,247.7,NA,541.8,366.2,445.2,155.8,1173.4,444.2,262.5,341.2,307.1,311.5,128.9,168.7,107,355.6,954.2,1090.9,348.6,199.3,254.9,475.2,120.3,348.8,99.4,127.9,161,211.3,706.4,76,210.8,363.9,350.4,344.5,53.7,240.5
AUG,1906,320.5,NA,585.9,430.1,258.3,241.1,535,190.1,95.5,290.9,264.6,247.1,103.8,433.7,257.4,251.6,442.8,506.7,260.5,205,156.9,439.2,182.1,261.8,190.5,154.4,152.2,256.3,816,195.2,226.7,440.9,325.8,198.6,58.6,172.6
SEP,1906,164.3,NA,264.2,118.7,242.3,126.9,273.3,417,191.4,135.5,193.2,134.8,185.2,230.9,237,185.4,131.2,222.5,25.9,88.8,82.1,439.1,116,251.7,181.5,130.4,56.6,109.5,208.6,65.3,96.3,232.2,113.3,266.2,87.1,260.6
OCT,1906,267.8,NA,165.7,32.9,41.2,92.1,128.5,7.1,1.9,5.1,140,5.9,0,2.9,5.3,96.8,251.7,31.6,252.3,19.1,19.8,142.8,86.2,86.2,0.5,107.7,14.9,173.4,140.5,162.8,20.5,11.6,6.9,1.5,0.7,1.1
NOV,1906,128.9,NA,24.9,0.4,10.2,21.5,22.1,1.7,0,0,12.5,0,0,0,0,7.1,163.1,10.2,106.5,15.5,3.9,44.9,24.3,13,0,35,0,16.5,8,189.1,14.9,0.4,14.3,0.2,0,0
DEC,1906,79.2,NA,0.2,0,14.7,80.8,56.8,8.8,3,0.1,0,0.9,5,15.9,36.9,1.1,86,0.7,63.8,11.1,12.4,3.2,58.9,27.4,22.2,132.2,0.6,52.6,0.4,127.7,34.8,13.8,18.1,0.9,2.4,5.7
JAN,1907,110.7,NA,55.8,1.3,4,0.6,7,7,6.3,2.1,0.7,0.3,14.3,124.2,99.6,2,18.8,1.7,60.6,0.5,1,39.1,1.1,0.1,27.3,1.1,0,4.5,10.4,8.4,1,49.4,3.6,5.2,0.6,13.8
FEB,1907,0,NA,37.2,55.2,40.2,3,0,103.1,35.7,74.9,24.2,14.6,42.8,145.1,195.8,59.3,4.8,1,49.3,3.7,6.6,30.4,0,16.9,95.4,0,19.7,0,20.8,1.2,3.3,131.6,52.9,25.1,24.5,64.8
MAR,1907,113.3,NA,109.7,39.4,41.7,38.9,2.7,4.5,7,19.2,94.9,0.2,25.9,144.9,132.2,76,55.7,0,0,1.5,1.1,92.8,12.1,57.4,53.1,6.5,0,11.7,71.1,25,10.2,144.4,3.7,0.6,6.3,17.6
APR,1907,21.6,NA,254.8,27,39.4,80.9,91.3,30.5,14.3,20.3,39.7,2.1,33.5,73,151,26.3,170.8,20.1,123.5,54.5,61.3,189.1,96.9,105.1,50.7,82.5,2.3,84.7,108.8,78.9,61.9,41.7,45.3,12.3,7.3,27.2
MAY,1907,616.3,NA,213.7,32.9,4.5,18.9,19,5.1,12.7,11.1,92.3,0.4,7.8,34.2,57,27.4,101.4,0,77,0.6,0,156,5.6,39.8,3.3,8.6,0.4,46.5,156.2,56.6,0.2,57.6,1.6,2.8,6.8,9.6
JUN,1907,305.2,NA,509.8,232.2,286.5,224.5,845.9,90.9,18.5,48.6,347.6,72.4,20,23.7,85.9,338.1,770.9,583.1,241.1,118,90.4,414.1,90.6,226.3,20.2,50.5,69,137.4,408.1,46.1,217.5,74.8,181.4,48.7,12.8,15.8
JUL,1907,443.9,NA,578.9,282.4,233.6,119.7,1166.3,221.9,134.1,173.5,217.5,325,123.2,95.7,85.1,230.4,760.4,1170.9,199.5,262.3,198.9,400.9,155.1,203.9,82.8,100.5,201.1,231.5,889.8,70.4,160.5,342.3,309.7,202.2,52.2,176.5
AUG,1907,377.6,NA,304.2,242.2,494.4,118.2,1026.1,512.3,319.8,290.9,249.9,564.4,175.3,200.6,220.3,469.4,981.5,811.5,165.6,267.8,155.2,291.4,185.2,531.8,249,34.3,213.7,219.4,358.8,58.2,263.3,323.8,332.6,328.5,242.5,263.9
SEP,1907,200.4,NA,401,206.9,141.8,94.7,223.6,20.1,3.3,25.7,232.3,17.5,1,18.9,24.9,200.2,225,164,25.8,94.1,34.7,336.1,165.8,204.8,6.8,97.7,3.3,146.5,456.1,117.2,116.8,28.2,59.7,17.3,0.2,0.5
OCT,1907,264.4,NA,37.6,4.8,0.1,37,87.7,0,0,0,13.3,0,0.1,14.9,13.9,1.7,309.7,11.4,176.3,7.6,5,114.6,10.3,15.9,0.4,60,0,52.6,40,160.4,0.3,0.4,0.2,0,0.1,0
NOV,1907,648.9,NA,4.8,0,7.3,52.4,55.8,13,0,0,0,0,0,0,3.1,0,219.1,1.9,292.7,3.6,0,3.9,17.9,14,0,140.7,0,49.5,5.8,200,3.6,0,15.7,7.8,0,0
DEC,1907,245.6,NA,13.8,2.1,15.3,29.1,9.8,1.2,0,0.1,24.7,0,0,0,0.8,24.8,52.8,0.9,47.4,0.9,3.7,53.4,6.1,31.2,0,58,0,14.1,4.1,63.2,5,0.1,4.3,0,0,0
JAN,1908,20.9,NA,16.2,14.7,8.4,54.1,0,18.2,13.9,19.2,27,5.2,31.4,38.4,86.4,12.2,8,0.9,18,0.3,0,26.4,1.3,36.2,46.9,5.7,3.6,8.3,10.6,16.8,35.6,49.4,4.1,12.1,8.5,22.4
FEB,1908,85.1,NA,25.1,38.6,67.1,1.3,3.1,17,0.8,15.7,5.1,0.3,6.1,76.1,51.4,46.4,20.8,1.1,9.2,0,0.8,15,0.3,0.6,11.8,4.3,0,2.4,32.9,36.9,2.6,74.6,15.5,0.6,0.2,11.4
MAR,1908,0,NA,20.7,6.1,6.3,1.7,0.9,9.4,1.6,7.7,1.9,0.2,0.1,12.3,28.1,4.8,38.2,0,5.6,4.7,13,4.3,2.4,12.2,0.3,4.7,0,9.3,9.8,25,5.2,6.3,13.5,10.1,0,1.7
APR,1908,29,NA,176.6,2.2,1.5,7.2,46.1,1.4,0.4,0.8,5.2,0,7.6,181.7,195.8,0.6,102.9,2.3,162,6.3,2.9,141.1,16,9.9,31.3,5.5,0,44.4,53.8,24.5,0.3,31.8,5.7,1.5,3.8,1.9
MAY,1908,562,NA,332.7,36.7,6.5,40.9,38,3.4,6.2,5.2,109.9,0.1,22.4,43.6,45.3,48.6,142.6,1,150.9,5.8,1.6,252.1,20.7,59.3,12.1,41.2,0,92.5,315,70.3,6.5,46.3,1.5,1.9,6.6,12
JUN,1908,693.6,NA,390.8,94,182.4,57.2,708.6,117.7,42.6,63.3,380.4,67.5,14.5,46.8,26.1,210.1,592.6,440,471.7,85.1,100.7,360,62.6,218.7,13,36.2,30.2,92.2,368.6,34.2,107.4,144.9,232,104.5,28.4,44.4
JUL,1908,481.4,NA,477.2,202.3,465.9,120.9,1904.9,528.9,395.2,230.5,383.5,562.1,196.6,225.6,233.3,326.2,902.2,1391.8,184.9,263,124.4,531.5,154.9,327.2,183.8,65,284.8,263.6,449.1,37.5,254.9,411.4,355.2,368.8,208.9,325.2
AUG,1908,699.9,NA,339.4,167.3,590,162,766.6,588.6,349,304,290.4,366,398.2,287.4,345.9,368,352.9,649.8,73.9,169.9,176.8,371.9,86.1,507.3,399.1,45.5,198.8,118.1,268.5,48.4,168.3,423.5,398.4,281.9,265.8,409.1
SEP,1908,428.8,NA,403.4,149.9,146.7,320.9,128,127.5,58.7,86.1,174.9,25.1,10.1,43,118.9,171.6,175.9,222.4,437,166.6,261.9,317.8,232.7,213.9,37.3,222.6,10.4,88,441.6,154.2,401.2,56.2,205.9,48.5,56.8,35.8
OCT,1908,170.7,NA,91.9,25.4,12.9,73.9,56.8,13,0.2,11.9,21.3,1,0.3,2.8,9,25.5,253.3,24.6,251.2,16.3,0.4,192.6,16.9,45.3,1.2,151.8,0.1,69.6,36,261,0.1,2.5,7.8,0.5,2,0.2
